[2026-08-05 11:49:32] [INFO] =================================================================
[2026-08-05 11:49:32] [INFO] DWP Temp Cleanup - Session: 2026-08-05_11-49-32
[2026-08-05 11:49:32] [INFO] Mode       : LIVE
[2026-08-05 11:49:32] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-05 11:49:32)
[2026-08-05 11:49:32] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cinst.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\dc20869ae2c945bca37f489d836ccf0a.exe
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cinst.exe.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\769f5d111686411d9c72b6d1d62dab69.ignore
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\clist.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\33758d3ea322499cbb424f907aac7176.exe
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\clist.exe.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\1b8def0f711b48648470e0192b34b545.ignore
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cpush.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\860865d8dc4e49ce99ff62a3677f7040.exe
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cpush.exe.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\6702b3c139f84675906a263d58a10556.ignore
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cuninst.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\b3844fecc3804316b9e5591ea26afc4c.exe
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cuninst.exe.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\1ce78378bd3747318eedfd778e898af2.ignore
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cup.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\1c1ff6204d95458aa50e51b4b1b8bd7a.exe
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cup.exe.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\5d6fa96b8cd143c3b15713e36cf19bf5.ignore
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\RefreshEnv.cmd -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\324c6f82e9434aec8f4050130c14a07b.cmd
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.dll -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\dee0677df20c426daef3c5132a3c781e.dll
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.dll.manifest -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\f08c335a43924b99996a85c6433afb72.manifest
[2026-08-05 11:49:36] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\19d1381ee5124f798c34f8840eb8a67e.exe
